2023-07-20 15:48:23,839 INFO    MainThread:13014 [wandb_setup.py:_flush():76] Loading settings from /home/nicole/.config/wandb/settings
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_setup.py:_flush():76] Loading settings from /home/nicole/marl-emecom/src/experiments_pgg_v0/anastassacos/wandb/settings
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/experiments_pgg_v0/anastassacos/caller_optuna_anastassacos.py', 'program': 'caller_optuna_anastassacos.py'}
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_init.py:_log_setup():428] Logging user logs to /home/nicole/marl-emecom/src/experiments_pgg_v0/anastassacos/wandb/offline-run-20230720_154823-f5954rip/logs/debug.log
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_init.py:_log_setup():429] Logging internal logs to /home/nicole/marl-emecom/src/experiments_pgg_v0/anastassacos/wandb/offline-run-20230720_154823-f5954rip/logs/debug-internal.log
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_init.py:init():462] calling init triggers
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {'b_value': 5.0, 'c_value': 1.0, 'd_value': 0.0, 'n_agents': 2, 'algorithm': 'reinforce', 'wandb_mode': 'offline', 'num_game_iterations': 1, 'n_epochs': 2000, 'obs_size': 4, 'action_size': 2, 'random_baseline': False, 'lr_opponent': 0, 'embedding_dim': 1, 'binary_reputation': 1, 'opponent_selection': 0, 'other_reputation_threshold': 0.4, 'cooperation_threshold': 0.4, 'optuna_': 0, 'device': device(type='cpu'), 'reputation_in_reward': 1, 'lr_actor': 0.01, 'n_hidden_act': 2, 'hidden_size_act': 16, 'batch_size': 1, 'decayRate': 0.999}
2023-07-20 15:48:23,840 INFO    MainThread:13014 [wandb_init.py:init():515] starting backend
2023-07-20 15:48:23,840 INFO    MainThread:13014 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-20 15:48:23,847 INFO    MainThread:13014 [backend.py:ensure_launched():217] starting backend process...
2023-07-20 15:48:23,850 INFO    MainThread:13014 [backend.py:ensure_launched():222] started backend process with pid: 13028
2023-07-20 15:48:23,851 INFO    MainThread:13014 [wandb_init.py:init():525] backend started and connected
2023-07-20 15:48:23,857 INFO    MainThread:13014 [wandb_init.py:init():596] updated telemetry
2023-07-20 15:48:23,868 INFO    MainThread:13014 [wandb_init.py:init():662] starting run threads in backend
2023-07-20 15:48:24,262 INFO    MainThread:13014 [wandb_run.py:_console_start():1898] atexit reg
2023-07-20 15:48:24,262 INFO    MainThread:13014 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2023-07-20 15:48:24,262 INFO    MainThread:13014 [wandb_run.py:_redirect():1776] Redirecting console.
2023-07-20 15:48:24,264 INFO    MainThread:13014 [wandb_run.py:_redirect():1832] Redirects installed.
2023-07-20 15:48:24,264 INFO    MainThread:13014 [wandb_init.py:init():688] run started, returning control to user process
2023-07-20 15:48:24,625 INFO    MainThread:13014 [wandb_run.py:_atexit_cleanup():1867] got exitcode: 255
2023-07-20 15:48:24,625 INFO    MainThread:13014 [wandb_run.py:_restore():1839] restore
