config= {'b_value': 5.0, 'c_value': 1.0, 'd_value': 0.0, 'n_agents': 2, 'algorithm': 'reinforce', 'wandb_mode': 'offline', 'num_game_iterations': 10, 'n_epochs': 2000, 'obs_size': 4, 'action_size': 2, 'random_baseline': False, 'embedding_dim': 1, 'binary_reputation': 1, 'other_reputation_threshold': 0.4, 'cooperation_threshold': 0.4, 'optuna_': 0, 'device': 'cpu', 'reputation_in_reward': 0, 'lr_actor': 0.01, 'n_hidden_act': 2, 'hidden_size_act': 16, 'batch_size': 1, 'decayRate': 0.999}
DD= tensor(1.)
Dc= tensor(6.)
Cd= tensor(0.)
CC= tensor(5.)
mv= tensor(6.)
mat= tensor([[1., 6.],
        [0., 5.]])
norm mat= tensor([[0.1667, 1.0000],
        [0.0000, 0.8333]])
is_dummy= [0, 0]
Agent 0
Agent 1
==========>Epoch= 0
 action, distrib= tensor(1) tensor([0.4129, 0.5871], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.5044, 0.4956], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3900, 0.6100], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4952, 0.5048], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4137, 0.5863], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5367, 0.4633], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3900, 0.6100], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4952, 0.5048], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3857, 0.6143], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5069, 0.4931], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3929, 0.6071], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5333, 0.4667], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3900, 0.6100], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4952, 0.5048], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4288, 0.5712], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5130, 0.4870], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3900, 0.6100], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4952, 0.5048], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3857, 0.6143], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.5069, 0.4931], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
Epoch : 0 	 Measure: nan
==========>Epoch= 1
 action, distrib= tensor(1) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4587, 0.5413], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3427, 0.6573], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4279, 0.5721], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3201, 0.6799], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4920, 0.5080], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4640, 0.5360], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3410, 0.6590], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.5056, 0.4944], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3898, 0.6102], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4981, 0.5019], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3861, 0.6139], grad_fn=<SoftmaxBackward0>)
